agent,weather,map,route,mtime,frames
interfuser,0,map_01,routes_town01_tiny,1760827237.0,3695
interfuser,0,map_02,routes_town02_tiny,1760823535.0,4297
interfuser,0,map_06,routes_town06_long,1760688210.0,0
interfuser,0,map_02,routes_town02_long,1760694763.0,5294
interfuser,0,map_04,routes_town04_long,1760690737.0,5360
interfuser,0,map_05,routes_town05_tiny,1760826205.0,1001
interfuser,0,map_07,routes_town07_short,1760900704.0,0
interfuser,0,map_10,routes_town10_short,1760900718.0,0
interfuser,0,map_03,routes_town03_long,1760700588.0,6168
interfuser,0,map_05,routes_town05_long,1760700803.0,6302
interfuser,0,map_01,routes_town01_long,1760691601.0,7827
interfuser,0,map_04,routes_town04_tiny,1760828835.0,8841
interfuser,1,map_02,routes_town02_long,1760692718.0,3752
interfuser,1,map_03,routes_town03_long,1760690168.0,4779
interfuser,1,map_01,routes_town01_short,1760907982.0,6381
interfuser,1,map_06,routes_town06_long,1760688307.0,0
interfuser,1,map_06,routes_town06_short,1760901056.0,0
interfuser,1,map_02,routes_town02_short,1760919058.0,7321
interfuser,1,map_04,routes_town04_long,1760690880.0,5360
interfuser,1,map_01,routes_town01_long,1760691747.0,8015
interfuser,1,map_04,routes_town04_short,1760903037.0,4708
interfuser,1,map_07,routes_town07_short,1760901071.0,0
interfuser,1,map_10,routes_town10_short,1760901086.0,0
interfuser,1,map_05,routes_town05_long,1760698908.0,4458
interfuser,10,map_01,routes_town01_tiny,1760829625.0,701
interfuser,1,map_05,routes_town05_short,1760910832.0,5541
interfuser,10,map_03,routes_town03_tiny,1760830225.0,821
interfuser,10,map_02,routes_town02_short,1760950680.0,4821
interfuser,10,map_02,routes_town02_long,1760717766.0,5696
interfuser,10,map_02,routes_town02_tiny,1760838333.0,5418
interfuser,10,map_03,routes_town03_long,1760721442.0,5913
interfuser,10,map_01,routes_town01_short,1760932027.0,8621
interfuser,10,map_04,routes_town04_long,1760723793.0,5422
interfuser,10,map_05,routes_town05_tiny,1760838469.0,1001
interfuser,10,map_04,routes_town04_tiny,1760837856.0,3961
interfuser,10,map_05,routes_town05_long,1760723040.0,4027
interfuser,10,map_06,routes_town06_long,1760713954.0,0
